date;channel_group;channel_name;value;type_id
2021-09-30T11:20:04;innentemperatur;kueche;21.1;1
2021-09-30T11:20:04;innenfeuchtigkeit;kueche;52.0;2
2021-09-30T11:20:14;speicher;mitte;56.2;1
2021-09-30T11:20:15;zirkulation;eg;27.8;1
2021-09-30T11:20:16;heizung;vl;31.0;1
2021-09-30T11:20:17;zirkulation;kueche;30.2;1
2021-09-30T11:20:18;heizung;rl;30.8;1
2021-09-30T11:20:19;speicher;unten;32.8;1
2021-09-30T11:20:21;speicher;oben;57.1;1
2021-09-30T11:20:22;heizung;ladung-rl;27.8;1
2021-09-30T11:20:23;zirkulation;og;31.0;1
2021-09-30T11:20:24;kollektor;vl;44.9;1
2021-09-30T11:20:25;zirkulation;warmwasser;52.2;1
2021-09-30T11:20:42;innentemperatur;heizraum;22.27;1
2021-09-30T11:20:42;innenfeuchtigkeit;heizraum;38.71;2
2021-09-30T11:20:42;co2konzentration;heizraum;535.0;3
2021-09-30T11:20:50;innentemperatur;heizraum2;22.03;1
2021-09-30T11:20:50;innenfeuchtigkeit;heizraum2;43.06;2
2021-09-30T11:20:50;luftqualitaet;heizraum;500.0;4
2021-09-30T11:20:50;luftdruck;heizraum;1027.1799999999998;4
2021-09-30T11:21:29;gaszaehler;heizraum;1495.0;6
2021-09-30T11:22:05;aussentemperatur;nord;11.1;1
2021-09-30T11:22:05;aussenfeuchtigkeit;nord;75.0;2
2021-09-30T11:22:05;innentemperatur;kueche;21.1;1
2021-09-30T11:22:05;innenfeuchtigkeit;kueche;52.0;2
2021-09-30T11:22:15;speicher;mitte;56.1;1
2021-09-30T11:22:16;zirkulation;eg;27.9;1
2021-09-30T11:22:17;heizung;vl;30.9;1
2021-09-30T11:22:18;zirkulation;kueche;29.9;1
2021-09-30T11:22:19;heizung;rl;29.8;1
2021-09-30T11:22:20;speicher;unten;32.9;1
2021-09-30T11:22:21;speicher;oben;57.1;1
2021-09-30T11:22:23;heizung;ladung-rl;27.8;1
2021-09-30T11:22:24;zirkulation;og;30.2;1
2021-09-30T11:22:25;kollektor;vl;44.9;1
2021-09-30T11:22:26;zirkulation;warmwasser;51.1;1
2021-09-30T11:22:43;innentemperatur;heizraum;22.3;1
2021-09-30T11:22:43;innenfeuchtigkeit;heizraum;38.93;2
2021-09-30T11:22:43;co2konzentration;heizraum;533.0;3
2021-09-30T11:22:50;innentemperatur;heizraum2;22.06;1
2021-09-30T11:22:50;innenfeuchtigkeit;heizraum2;43.13;2
2021-09-30T11:22:50;luftqualitaet;heizraum;500.0;4
2021-09-30T11:22:50;luftdruck;heizraum;1027.1799999999998;4
2021-09-30T11:23:30;gaszaehler;heizraum;1495.0;6
2021-09-30T11:24:05;aussentemperatur;nord;11.1;1
2021-09-30T11:24:05;aussenfeuchtigkeit;nord;75.0;2
2021-09-30T11:24:05;innentemperatur;kueche;21.1;1
2021-09-30T11:24:05;innenfeuchtigkeit;kueche;52.0;2
2021-09-30T11:24:15;speicher;mitte;56.1;1
2021-09-30T11:24:16;zirkulation;eg;27.9;1
2021-09-30T11:24:17;heizung;vl;29.8;1
2021-09-30T11:24:18;zirkulation;kueche;29.9;1
2021-09-30T11:24:19;heizung;rl;30.0;1
2021-09-30T11:24:20;speicher;unten;33.2;1
2021-09-30T11:24:22;speicher;oben;57.0;1
2021-09-30T11:24:23;heizung;ladung-rl;27.8;1
2021-09-30T11:24:24;zirkulation;og;29.9;1
2021-09-30T11:24:25;kollektor;vl;45.0;1
2021-09-30T11:24:26;zirkulation;warmwasser;49.9;1
2021-09-30T11:24:43;innentemperatur;heizraum;22.17;1
2021-09-30T11:24:43;innenfeuchtigkeit;heizraum;39.06;2
2021-09-30T11:24:43;co2konzentration;heizraum;538.0;3
2021-09-30T11:24:51;innentemperatur;heizraum2;21.97;1
2021-09-30T11:24:51;innenfeuchtigkeit;heizraum2;43.37;2
2021-09-30T11:24:51;luftqualitaet;heizraum;500.0;4
2021-09-30T11:24:51;luftdruck;heizraum;1027.1799999999998;4
2021-09-30T11:25:30;gaszaehler;heizraum;1495.0;6
2021-09-30T11:26:04;aussentemperatur;nord;11.2;1
2021-09-30T11:26:04;aussenfeuchtigkeit;nord;75.0;2
2021-09-30T11:26:04;innentemperatur;kueche;21.1;1
2021-09-30T11:26:04;innenfeuchtigkeit;kueche;52.0;2
2021-09-30T11:28:04;aussentemperatur;nord;11.2;1
2021-09-30T11:28:04;aussenfeuchtigkeit;nord;75.0;2
2021-09-30T11:28:04;innentemperatur;kueche;21.1;1
2021-09-30T11:28:04;innenfeuchtigkeit;kueche;52.0;2
2021-09-30T11:28:14;speicher;mitte;56.1;1
2021-09-30T11:28:16;zirkulation;eg;27.0;1
2021-09-30T11:28:17;heizung;vl;28.9;1
2021-09-30T11:28:18;zirkulation;kueche;29.8;1
2021-09-30T11:28:19;heizung;rl;28.8;1
2021-09-30T11:28:20;speicher;unten;34.1;1
2021-09-30T11:28:21;speicher;oben;57.1;1
2021-09-30T11:28:22;heizung;ladung-rl;27.8;1
2021-09-30T11:28:23;zirkulation;og;30.1;1
2021-09-30T11:28:24;kollektor;vl;45.9;1
2021-09-30T11:28:25;zirkulation;warmwasser;51.2;1
2021-09-30T11:28:42;innentemperatur;heizraum;22.14;1
2021-09-30T11:28:42;innenfeuchtigkeit;heizraum;38.99;2
2021-09-30T11:28:42;co2konzentration;heizraum;527.0;3
2021-09-30T11:28:50;innentemperatur;heizraum2;21.91;1
2021-09-30T11:28:50;innenfeuchtigkeit;heizraum2;43.38;2
2021-09-30T11:28:50;luftqualitaet;heizraum;452.0;4
2021-09-30T11:28:50;luftdruck;heizraum;1027.21;4
2021-09-30T11:29:29;gaszaehler;heizraum;14955.0;6
2021-09-30T11:30:05;aussentemperatur;nord;11.2;1
2021-09-30T11:30:05;aussenfeuchtigkeit;nord;75.0;2
2021-09-30T11:30:05;innentemperatur;kueche;21.1;1
2021-09-30T11:30:05;innenfeuchtigkeit;kueche;52.0;2
2021-09-30T11:30:15;speicher;mitte;56.0;1
2021-09-30T11:30:16;zirkulation;eg;26.0;1
2021-09-30T11:30:17;heizung;vl;29.1;1
2021-09-30T11:30:18;zirkulation;kueche;29.2;1
